종목,지역,전체_응답자수,있다고_응답한수
성인물,서울,2042,900
성인물,부산,940,412
성인물,대구,845,363
성인물,인천,887,386
성인물,광주,682,320
성인물,대전,665,332
성인물,울산,560,267
성인물,세종,277,106
성인물,경기,3166,1325
성인물,강원,574,280
성인물,충북,584,311
성인물,충남,746,348
성인물,전북,718,352
성인물,전남,637,269
성인물,경북,814,399
성인물,경남,1046,468
성인물,제주,463,207
도박,서울,2042,77
도박,부산,940,34
도박,대구,845,39
도박,인천,887,39
도박,광주,682,31
도박,대전,665,24
도박,울산,560,34
도박,세종,277,12
도박,경기,3166,138
도박,강원,574,32
도박,충북,584,30
도박,충남,746,48
도박,전북,718,39
도박,전남,637,21
도박,경북,814,36
도박,경남,1046,43
도박,제주,463,25
폭력,서울,2042,188
폭력,부산,940,58
폭력,대구,845,62
폭력,인천,887,50
폭력,광주,682,60
폭력,대전,665,57
폭력,울산,560,46
폭력,세종,277,28
폭력,경기,3166,281
폭력,강원,574,61
폭력,충북,584,40
폭력,충남,746,98
폭력,전북,718,69
폭력,전남,637,52
폭력,경북,814,65
폭력,경남,1046,88
폭력,제주,463,37
성폭력,서울,2042,53
성폭력,부산,940,11
성폭력,대구,845,17
성폭력,인천,887,13
성폭력,광주,682,16
성폭력,대전,665,13
성폭력,울산,560,14
성폭력,세종,277,12
성폭력,경기,3166,76
성폭력,강원,574,12
성폭력,충북,584,12
성폭력,충남,746,28
성폭력,전북,718,27
성폭력,전남,637,14
성폭력,경북,814,20
성폭력,경남,1046,29
성폭력,제주,463,9
가출,서울,2042,57
가출,부산,940,26
가출,대구,845,28
가출,인천,887,13
가출,광주,682,22
가출,대전,665,25
가출,울산,560,21
가출,세종,277,10
가출,경기,3166,84
가출,강원,574,15
가출,충북,584,11
가출,충남,746,22
가출,전북,718,11
가출,전남,637,13
가출,경북,814,15
가출,경남,1046,25
가출,제주,463,7
음주,서울,2042,227
음주,부산,940,119
음주,대구,845,101
음주,인천,887,116
음주,광주,682,120
음주,대전,665,94
음주,울산,560,88
음주,세종,277,41
음주,경기,3166,391
음주,강원,574,88
음주,충북,584,90
음주,충남,746,142
음주,전북,718,132
음주,전남,637,94
음주,경북,814,92
음주,경남,1046,148
음주,제주,463,54
흡연,서울,2042,78
흡연,부산,940,32
흡연,대구,845,52
흡연,인천,887,33
흡연,광주,682,49
흡연,대전,665,35
흡연,울산,560,28
흡연,세종,277,24
흡연,경기,3166,131
흡연,강원,574,39
흡연,충북,584,55
흡연,충남,746,32
흡연,전북,718,43
흡연,전남,637,36
흡연,경북,814,47
흡연,경남,1046,29
흡연,제주,463,39
약물,서울,2042,2
약물,부산,940,2
약물,대구,845,3
약물,인천,887,2
약물,광주,682,3
약물,대전,665,5
약물,울산,560,0
약물,세종,277,2
약물,경기,3166,9
약물,강원,574,1
약물,충북,584,1
약물,충남,746,1
약물,전북,718,4
약물,전남,637,3
약물,경북,814,5
약물,경남,1046,1
약물,제주,463,2
유해업소,서울,2042,1256
유해업소,부산,940,634
유해업소,대구,845,552
유해업소,인천,887,589
유해업소,광주,682,470
유해업소,대전,665,448
유해업소,울산,560,400
유해업소,세종,277,158
유해업소,경기,3166,1990
유해업소,강원,574,399
유해업소,충북,584,411
유해업소,충남,746,504
유해업소,전북,718,468
유해업소,전남,637,449
유해업소,경북,814,536
유해업소,경남,1046,741
유해업소,제주,463,286
