연도,종목,지역,전체_응답자수,있다고_응답한수,위험도,,,,,총위험도
2016,성인물,서울,2042,900,44.1,,,,서울,15.44444444
2016,성인물,부산,940,412,43.8,,,,부산,15.7
2016,성인물,대구,845,363,43,,,,대구,16.01111111
2016,성인물,인천,887,386,43.5,,,,인천,15.54444444
2016,성인물,광주,682,320,46.9,,,,광주,17.75555556
2016,성인물,대전,665,332,49.9,,,,대전,17.27777778
2016,성인물,울산,560,267,47.7,,,,울산,17.82222222
2016,성인물,세종,277,106,38.3,,,,세종,15.75555556
2016,성인물,경기,3166,1325,41.9,,,,경기,15.54444444
2016,성인물,강원,574,280,48.8,,,,강원,17.94444444
2016,성인물,충북,584,311,53.3,,,,충북,18.28888889
2016,성인물,충남,746,348,46.6,,,,충남,18.2
2016,성인물,전북,718,352,49,,,,전북,17.72222222
2016,성인물,전남,637,269,42.2,,,,전남,16.6
2016,성인물,경북,814,399,49,,,,경북,16.57777778
2016,성인물,경남,1046,468,44.7,,,,경남,16.68888889
2016,성인물,제주,463,207,44.7,,,,제주,15.97777778
2016,도박,서울,2042,77,3.8,,,,,
2016,도박,부산,940,34,3.6,,,,,
2016,도박,대구,845,39,4.6,,,,,
2016,도박,인천,887,39,4.4,,,,,
2016,도박,광주,682,31,4.5,,,,,
2016,도박,대전,665,24,3.6,,,,,
2016,도박,울산,560,34,6.1,,,,,
2016,도박,세종,277,12,4.3,,,,,
2016,도박,경기,3166,138,4.4,,,,,
2016,도박,강원,574,32,5.6,,,,,
2016,도박,충북,584,30,5.1,,,,,
2016,도박,충남,746,48,6.4,,,,,
2016,도박,전북,718,39,5.4,,,,,
2016,도박,전남,637,21,3.3,,,,,
2016,도박,경북,814,36,4.4,,,,,
2016,도박,경남,1046,43,4.1,,,,,
2016,도박,제주,463,25,5.4,,,,,
2016,폭력,서울,2042,188,9.2,,,,,
2016,폭력,부산,940,58,6.2,,,,,
2016,폭력,대구,845,62,7.3,,,,,
2016,폭력,인천,887,50,5.6,,,,,
2016,폭력,광주,682,60,8.8,,,,,
2016,폭력,대전,665,57,8.6,,,,,
2016,폭력,울산,560,46,8.2,,,,,
2016,폭력,세종,277,28,10.1,,,,,
2016,폭력,경기,3166,281,8.9,,,,,
